Name,Manufacturer,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Age,Price_per_CC,KM_per_Year,Luxury_Score,Regional_Premium,Q1_2026_Value
Maruti Swift VDI BSIV,Maruti,Jaipur,2015,64424,Diesel,Manual,First,1248,74.0,5,25.2,5.6,11,4.487179487179487,5856.727272727273,0,-4.111991847848795,2.1918008178256643
Land Rover Range Rover 2.2L Pure,Land,Delhi,2014,72000,Diesel,Automatic,First,2179,187.7,5,12.7,27.0,12,12.391005048187242,6000.0,1,177.51774855465362,9.722202199069555
Land Rover Freelander 2 TD4 SE,Land,Pune,2012,85000,Diesel,Automatic,Second,2179,115.0,5,0.0,17.5,14,8.031206975676916,6071.428571428572,1,158.79455174443567,5.333528110096973
Mitsubishi Pajero Sport 4X4,Mitsubishi,Delhi,2014,110000,Diesel,Manual,First,2477,175.56,7,13.5,15.0,12,6.0557125555106985,9166.666666666666,1,54.17652697480755,5.40122344392753
Honda Amaze S i-Dtech,Honda,Kochi,2016,58950,Diesel,Manual,First,1498,98.6,5,25.8,5.4,10,3.6048064085447264,5895.0,0,-51.756266570340955,2.297306757814167
Maruti Swift DDiS VDI,Maruti,Jaipur,2017,25000,Diesel,Manual,First,1248,74.0,5,28.4,5.99,9,4.799679487179487,2777.777777777778,0,2.565923005604609,2.7699008613741665
Renault Duster 85PS Diesel RxL Plus,Renault,Kochi,2014,77469,Diesel,Manual,First,1461,83.8,5,20.45,6.34,12,4.33949349760438,6455.75,0,-43.35828334369663,2.2829171089667026
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,MercedesBenz,Bangalore,2014,78500,Diesel,Automatic,First,2143,167.62,5,14.84,28.0,12,13.06579561362576,6541.666666666667,1,107.7277933650684,10.082283761998056
BMW 3 Series 320d,BMW,Kochi,2014,32982,Diesel,Automatic,First,1995,190.0,5,22.69,18.55,12,9.298245614035087,2748.5,1,65.72615835558797,6.679512992323713
Maruti S Cross DDiS 200 Alpha,Maruti,Bangalore,2015,55392,Diesel,Manual,Second,1248,88.5,5,23.65,8.25,11,6.610576923076923,5035.636363636364,0,-38.79448945493521,3.2289922762610233
Audi A6 2011-2015 35 TFSI Technology,Audi,Mumbai,2015,55985,Petrol,Automatic,First,1984,177.01,5,13.53,23.5,11,11.84475806451613,5089.545454545455,1,149.83185437504068,9.197735574804128
Hyundai i20 1.2 Magna,Hyundai,Kolkata,2010,45807,Petrol,Manual,First,1197,80.0,5,18.5,1.87,16,1.5622389306599833,2862.9375,0,-67.03388082836064,0.4823850068435409
Volkswagen Vento Petrol Highline AT,Volkswagen,Kolkata,2010,33000,Petrol,Automatic,First,1598,103.6,5,14.4,2.85,16,1.783479349186483,2062.5,0,-49.757518909533594,0.7351857056171612
Honda City Corporate Edition,Honda,Mumbai,2012,51920,Petrol,Manual,First,1497,116.3,5,16.8,4.25,14,2.839011356045424,3708.5714285714284,0,-54.817643357705414,1.2952853981664076
Nissan Micra Diesel XV,Nissan,Hyderabad,2012,54000,Diesel,Manual,First,1461,63.1,5,23.08,4.25,14,2.9089664613278576,3857.1428571428573,0,-56.55248054743116,1.2952853981664076
Maruti Alto K10 2010-2014 VXI,Maruti,Hyderabad,2013,54000,Petrol,Manual,Second,998,67.1,5,20.92,2.75,13,2.755511022044088,4153.846153846154,0,-71.88689917774957,0.9110063542091101
Honda WRV i-VTEC VX,Honda,Kochi,2018,37430,Petrol,Manual,First,1199,88.7,5,17.5,9.9,8,8.256880733944953,4678.75,0,-11.553155378958435,4.976050396966729
Toyota Innova 2.5 V Diesel 7-seater,Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth,2494,102.0,7,12.8,4.0,19,1.6038492381716116,13789.473684210527,1,-57.47542904254628,0.8034811041903385
Renault Duster 110PS Diesel RxZ Pack,Renault,Bangalore,2013,62000,Diesel,Manual,First,1461,108.45,5,19.01,7.75,13,5.304585900068446,4769.2307692307695,0,-42.50391433645429,2.567381543680219
Toyota Corolla Altis G,Toyota,Delhi,2012,87615,Petrol,Manual,First,1798,138.1,5,14.53,6.75,14,3.754171301446051,6258.214285714285,0,-30.620562861336598,2.057217985323118
Mahindra Ssangyong Rexton RX7,Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,2696,184.0,7,11.18,12.5,13,4.636498516320475,5538.461538461538,1,-7.264377962023049,4.140937973677773
Audi A6 2.7 TDI,Audi,Kolkata,2010,35000,Diesel,Automatic,First,2698,179.5,5,12.4,11.5,16,4.262416604892513,2187.5,1,102.73281843521534,2.9665388121394223
Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,1598,103.5,5,16.09,6.98,12,4.367959949937422,4619.25,0,-53.64671821547009,2.5133693092409444
Maruti Wagon R LXI BSIII,Maruti,Jaipur,2009,83816,Petrol,Manual,Second,1061,64.0,5,14.0,1.85,17,1.7436380772855797,4930.35294117647,0,-68.3227115925929,0.43904774419663456
Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,2018,50075,Diesel,Manual,First,1248,88.5,5,24.3,8.63,8,6.915064102564103,6259.375,0,-22.89936675963751,4.337708578365946
Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,2017,52000,Petrol,Manual,First,1198,82.0,5,18.15,4.85,9,4.048414023372287,5777.777777777777,0,-50.149589611478895,2.24274109810763
Mercedes-Benz M-Class ML 350 CDI,MercedesBenz,Pune,2013,85000,Diesel,Automatic,First,2987,254.8,5,11.74,28.0,13,9.373953799799128,6538.461538461538,1,314.0712827910971,9.275701061038212
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,2013,62000,Diesel,Manual,First,1199,73.9,5,22.07,5.0,13,4.170141784820684,4769.2307692307695,0,-35.73416502941802,1.6563751894711092
Maruti Alto LXi,Maruti,Delhi,2008,90000,Petrol,Manual,Second,796,46.3,5,19.7,1.25,18,1.5703517587939697,5000.0,0,-87.1519560854327,0.2729215707168269
Tata Nano LX SE,Tata,Kochi,2014,19698,Petrol,Manual,First,624,37.5,4,25.4,1.53,12,2.451923076923077,1641.5,0,-86.33094219492993,0.5509247912806081
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,1198,77.0,6,25.32,5.58,9,4.657762938230384,2448.1111111111113,0,-62.9439380576394,2.5803083149362016
Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,2014,35487,Petrol,Manual,First,1197,82.9,5,18.5,4.74,12,3.9598997493734336,2957.25,0,-57.652722878410415,1.7067866082810996
Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,1999,149.92,5,14.62,8.85,12,4.427213606803401,3864.5,0,-34.34317959711232,3.1867218319172426
Toyota Corolla Altis G AT,Toyota,Mumbai,2016,52001,Petrol,Automatic,First,1798,138.03,5,14.28,10.11,10,5.622914349276974,5200.1,0,7.48085309496429,4.301068763240967
Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,58005,Diesel,Manual,Second,1991,112.2,5,14.9,4.25,18,2.1346057257659465,3222.5,0,-49.8939989109115,0.9279333404372114
Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,70704,Petrol,Manual,First,2694,163.7,7,11.25,10.95,14,4.064587973273942,5050.285714285715,1,-18.76359509473219,3.3372647317463913
Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,2014,75000,Diesel,Manual,First,1120,71.0,5,24.4,3.85,12,3.4374999999999996,6250.0,0,-34.07699439539604,1.3863140172747328
Mahindra Thar CRDe AC,Mahindra,Jaipur,2012,75800,Diesel,Manual,Second,2498,105.0,6,16.55,5.5,14,2.2017614091273017,5414.285714285715,1,-5.8242777077086245,1.6762516917447627
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,2015,13648,Diesel,Automatic,First,1968,174.33,5,17.11,21.43,11,10.889227642276422,1240.7272727272727,1,91.45614951807278,8.387552058214997
Maruti Swift LDI,Maruti,Delhi,2014,52000,Diesel,Manual,First,1248,74.0,5,22.9,4.25,12,3.405448717948718,4333.333333333333,0,-56.31665069047119,1.5303466424461336
Maruti Swift Ldi BSIV,Maruti,Kolkata,2014,53000,Diesel,Manual,First,1248,75.0,5,17.8,3.3,12,2.644230769230769,4416.666666666667,0,-41.82449557945995,1.1882691576640565
Maruti Swift VDI,Maruti,Delhi,2013,65650,Diesel,Manual,First,1248,74.0,5,28.4,3.85,13,3.0849358974358974,5050.0,0,-60.428024743132724,1.275408895892754
Hyundai Grand i10 Sportz,Hyundai,Chennai,2015,54000,Petrol,Manual,Third,1197,82.0,5,18.9,3.6,11,3.007518796992481,4909.090909090909,0,-53.728598821180974,1.4090148114593557
Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,2015,39000,Petrol,Manual,First,1598,103.2,5,15.04,3.99,11,2.4968710888610763,3545.4545454545455,0,-29.660526473347026,1.561658082700786
Renault KWID RXT,Renault,Kochi,2017,16542,Petrol,Manual,First,799,53.3,5,25.17,3.3,9,4.130162703379224,1838.0,0,-70.51771845965283,1.52598878840313
Hyundai i10 Asta,Hyundai,Kolkata,2010,32000,Petrol,Manual,First,1197,78.9,5,20.36,2.07,16,1.7293233082706765,2000.0,0,-63.508092681661246,0.533976986185096
Nissan X-Trail SLX AT,Nissan,Hyderabad,2010,121812,Diesel,Automatic,First,1995,147.6,5,13.29,7.75,16,3.8847117794486214,7613.25,0,-20.772170410021516,1.9991891994852629
Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,2010,39300,Petrol,Manual,First,998,67.1,5,18.2,2.25,16,2.2545090180360723,2456.25,0,-76.99837205452238,0.5804097675924957
Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,22000,Diesel,Manual,First,2393,147.8,8,13.68,16.5,9,6.895110739657334,2444.4444444444443,1,75.41385519949664,7.62994394201565
Ford Figo Diesel Titanium,Ford,Bangalore,2010,72000,Diesel,Manual,First,1399,68.0,5,20.0,2.75,16,1.9656897784131522,4500.0,0,-79.59816315164507,0.7093897159463836
Mercedes-Benz New C-Class C 200 CGI Avantgarde,MercedesBenz,Delhi,2015,58000,Petrol,Automatic,First,1796,186.0,5,11.74,26.7,11,14.866369710467705,5272.727272727273,1,174.43421801515743,10.450193184990221
Mercedes-Benz New C-Class 200 CDI Classic,MercedesBenz,Pune,2011,65000,Diesel,Manual,Second,2148,170.0,5,15.8,10.0,15,4.655493482309124,4333.333333333333,1,47.88260099682038,2.8039119207366943
Tata Indica V2 eLS,Tata,Chennai,2016,178000,Diesel,Manual,First,1396,69.0,5,25.0,2.5,10,1.7908309455587395,17800.0,0,-67.86708251470901,1.0635679434324845
Audi A4 2.0 TDI Multitronic,Audi,Jaipur,2012,65664,Diesel,Automatic,First,1968,140.0,5,16.55,13.5,14,6.859756097560976,4690.285714285715,0,131.1585910810788,4.114435970646236
Honda City ZX CVT,Honda,Mumbai,2007,63000,Petrol,Automatic,Second,1497,78.0,5,16.4,1.85,19,1.2358049432197729,3315.7894736842104,0,-80.33238593217766,0.37161001068803157
Mercedes-Benz C-Class Progressive C 220d,MercedesBenz,Coimbatore,2019,15369,Diesel,Automatic,First,1950,194.0,5,0.0,35.67,7,18.292307692307695,2195.5714285714284,1,136.8798798358427,19.48789170617075
Maruti Ertiga SHVS VDI,Maruti,Pune,2016,63000,Diesel,Manual,First,1248,88.5,7,24.52,8.15,10,6.530448717948718,6300.0,0,20.52431981240863,3.4672314955899
Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,1396,88.7,5,22.1,10.5,8,7.521489971346705,1625.0,0,11.626998763316031,5.277629208904106
Porsche Cayenne 2009-2014 Turbo,Porsche,Mumbai,2008,73000,Petrol,Automatic,First,4806,500.0,5,8.5,14.5,18,3.017062005826051,4055.5555555555557,1,54.15156972076978,3.165890220315192
Mahindra XUV500 W8 4WD,Mahindra,Mumbai,2015,55729,Diesel,Manual,First,2179,140.0,7,15.1,9.65,11,4.4286369894446995,5066.272727272727,1,2.590527434857126,3.7769424807174397
Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,2012,45178,Petrol,Automatic,First,1197,78.9,5,16.95,3.48,14,2.907268170426065,3227.0,0,-68.90959401199753,1.0606101613221408
Nissan Terrano XV D Pre,Nissan,Kochi,2015,56066,Diesel,Manual,First,1461,108.5,5,19.64,6.92,11,4.736481861738535,5096.909090909091,0,-38.17654901236287,2.708439582027428
Honda Brio VX AT,Honda,Coimbatore,2016,37300,Petrol,Automatic,Second,1198,86.8,5,16.5,6.46,10,5.392320534223706,3730.0,0,-57.09997129970441,2.74825956582954
Audi A6 2.0 TDI Design Edition,Audi,Delhi,2014,56000,Diesel,Automatic,Second,1968,187.74,5,18.53,29.5,12,14.989837398373984,4666.666666666667,1,203.2138363837882,10.622406106390809
Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,2008,111111,Diesel,Manual,First,1399,74.0,5,17.8,2.0,18,1.4295925661186561,6172.833333333333,0,-65.75428280280313,0.436674513146923
Toyota Innova 2.0 G1,Toyota,Chennai,2006,230000,Petrol,Manual,Third,1998,132.0,8,12.4,4.5,20,2.2522522522522523,11500.0,0,-42.16074852647621,0.8316029428370003
Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,2012,104000,Diesel,Manual,First,2494,102.0,7,12.8,11.75,14,4.7113071371291095,7428.571428571428,1,20.11961260416093,3.5810831596365387
Hyundai Santro Xing XL,Hyundai,Hyderabad,2005,87591,Petrol,Manual,First,1086,74.0,5,0.0,1.3,21,1.1970534069981584,4171.0,0,-86.7101705203907,0.22102158214067832
Maruti Swift VDI,Maruti,Jaipur,2012,95100,Diesel,Manual,First,1248,74.0,5,22.9,3.75,14,3.0048076923076925,6792.857142857143,0,-35.78928025525588,1.1428988807350655
Tata Zest Revotron 1.2T XE,Tata,Pune,2017,70000,Petrol,Manual,First,1193,88.7,5,17.57,4.5,9,3.772003352891869,7777.777777777777,0,-33.45282955143083,2.0808938023679047
Honda Amaze SX i-VTEC,Honda,Kochi,2016,54944,Petrol,Manual,First,1198,86.7,5,18.0,4.82,10,4.023372287145243,5494.4,0,-56.93800090167471,2.0505589949378304
Ford Figo Diesel ZXI,Ford,Hyderabad,2012,70337,Diesel,Manual,First,1399,68.0,5,20.0,2.8,14,2.0014295925661183,5024.071428571428,0,-71.3757518900723,0.8533644976155156
Maruti Ritz VDi,Maruti,Jaipur,2013,99638,Diesel,Manual,First,1248,73.94,5,23.2,3.11,13,2.4919871794871793,7664.461538461538,0,-46.74790975835889,1.0302653678510298
Honda City i VTEC E,Honda,Delhi,2009,52000,Petrol,Manual,First,1497,117.3,5,17.8,3.25,17,2.171008684034736,3058.823529411765,0,-66.59508582212503,0.7713000911562499
BMW 5 Series 2003-2012 525d,BMW,Delhi,2011,75000,Diesel,Automatic,Second,1995,218.0,5,16.73,13.9,15,6.967418546365915,5000.0,1,42.870248329988335,3.897437569824005
Hyundai i10 Sportz 1.2,Hyundai,Pune,2009,95980,Petrol,Manual,First,1197,78.9,5,20.36,2.25,17,1.8796992481203008,5645.882352941177,0,-66.72641477571541,0.533976986185096
Hyundai Grand i10 Sportz,Hyundai,Bangalore,2016,16000,Petrol,Manual,First,1197,82.0,5,18.9,5.75,10,4.803675856307435,1600.0,0,-57.34161386253061,2.4462062698947147
Hyundai Santro Xing XO,Hyundai,Hyderabad,2007,73745,Petrol,Manual,First,1086,74.0,5,17.0,2.1,19,1.9337016574585635,3881.315789473684,0,-78.53181391755422,0.42182757969992773
Honda Amaze SX i-VTEC,Honda,Mumbai,2016,18949,Petrol,Manual,First,1198,86.7,5,17.8,5.0,10,4.173622704507513,1894.9,0,-46.844286303182834,2.127135886864969
Toyota Fortuner 4x2 Manual,Toyota,Delhi,2014,107000,Diesel,Manual,First,2982,168.5,7,13.0,16.5,12,5.533199195171026,8916.666666666666,1,69.59417967228832,5.941345788320283
Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,2018,48367,Diesel,Automatic,First,1968,174.33,5,17.68,39.58,8,20.111788617886177,6045.875,1,162.84568668075843,19.894148960802333
Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,2013,57000,Diesel,Manual,First,1498,89.84,5,22.7,5.5,13,3.671562082777036,4384.615384615385,0,-43.46860677590389,1.8220127084182203
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2014,58000,Diesel,Manual,First,2179,140.0,7,15.1,8.1,12,3.7173015144561727,4833.333333333333,1,-16.744675433603927,2.916660659720866
Honda Amaze SX i-DTEC,Honda,Kolkata,2015,30000,Diesel,Manual,First,1498,98.6,5,25.8,3.5,11,2.336448598130841,2727.2727272727275,0,-38.29870743276056,1.3698755111410401
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,1199,73.9,5,22.07,2.79,13,2.3269391159299415,2631.6923076923076,0,-50.81525535354341,0.924257355724879
Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,1493,110.0,5,16.2,3.45,16,2.3107836570663096,4375.125,0,-59.32571676297522,0.8899616436418267
Maruti Wagon R VXI BS IV,Maruti,Bangalore,2016,62000,Petrol,Manual,First,998,67.1,5,18.9,4.45,10,4.458917835671343,6200.0,0,-66.9861185544802,1.8931509393098227
Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,2010,62001,Petrol,Manual,First,1598,103.5,5,15.26,2.65,16,1.6583229036295368,3875.0625,0,-72.76214690111733,0.683593726275606
Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,2011,78958,Diesel,Manual,Second,1396,90.0,5,23.0,3.8,15,2.7220630372492836,5263.866666666667,0,-43.80461162120825,1.0654865298799436
Hyundai i20 Asta 1.2,Hyundai,Mumbai,2014,30180,Petrol,Manual,First,1197,82.85,5,18.5,4.65,12,3.8847117794486214,2515.0,0,-50.56518626196004,1.6743792676175344
Datsun GO Plus T Petrol,Datsun,Pune,2017,32851,Petrol,Manual,First,1198,67.0,7,19.83,3.95,9,3.297161936560935,3650.1111111111113,0,-41.58637260625594,1.8265623376340496
Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,2010,30000,Diesel,Automatic,First,2967,241.4,5,14.94,9.8,16,3.3029996629592184,1875.0,1,72.76361918827045,2.5280069877362035
Hyundai i20 2015-2017 Asta,Hyundai,Pune,2009,66000,Petrol,Manual,Second,1197,80.0,5,17.0,2.7,17,2.255639097744361,3882.3529411764707,0,-60.071697730858496,0.6407723834221153
Maruti Omni 5 Str STD,Maruti,Coimbatore,2010,93850,Petrol,Manual,First,796,35.0,5,14.0,2.41,16,3.027638190954774,5865.625,0,-83.9955001288371,0.6216833510657399
Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,1197,78.9,5,17.71,3.9,12,3.258145363408521,4416.666666666667,0,-54.020375471189375,1.4043180954211578
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,2993,270.9,5,14.74,24.0,15,8.018710324089543,5200.0,1,145.35069808509468,6.7293886097680655
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2012,65000,Diesel,Manual,Second,2179,140.0,7,16.0,5.75,14,2.638825149150987,4642.857142857143,1,-40.89899799299044,1.7524449504604338
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,1582,126.32,5,22.32,5.25,12,3.3185840707964602,3333.3333333333335,0,-7.448061149140839,1.8904282053746355
Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,2755,171.5,7,11.36,19.25,9,6.987295825771326,3333.3333333333335,1,104.64949773274608,8.901601265684924
Maruti Eeco 5 Seater AC,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,1196,73.0,5,15.1,3.91,9,3.2692307692307696,4228.111111111111,0,-74.03419315508424,1.8080655038352238
Tata Nano Twist XT,Tata,Bangalore,2014,25500,Petrol,Manual,First,624,37.5,4,25.4,2.15,12,3.4455128205128203,2125.0,0,-84.04947300946797,0.7741753602962793
BMW 3 Series 320d Luxury Line,BMW,Mumbai,2015,56087,Diesel,Automatic,First,1995,190.0,5,22.69,20.75,11,10.401002506265664,5098.818181818182,1,120.59621184179123,8.121404816050452
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2010,71088,Petrol,Manual,First,1799,130.0,5,13.5,3.35,16,1.8621456364647027,4443.0,0,-65.56724230895965,0.8641656539710492
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,2494,100.6,7,12.99,11.11,12,4.454691259021652,4583.333333333333,1,30.982981670534883,4.000506164135658
Volvo V40 Cross Country D3,Volvo,Bangalore,2014,32700,Diesel,Automatic,First,1984,150.0,5,23.3,20.0,12,10.080645161290322,2725.0,0,48.37699526076313,7.201631258570041
Nissan Micra XV CVT,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,1198,75.94,5,19.15,6.55,10,5.467445742904841,3988.2,0,-56.50229288127924,2.78654801179311
BMW 5 Series 2010-2013 525i,BMW,Mumbai,2009,128000,Petrol,Automatic,First,2497,215.0,5,10.8,7.0,17,2.803364036844213,7529.411764705882,1,-25.582000824455974,1.6612617347980767
Maruti Vitara Brezza VDi,Maruti,Mumbai,2016,55000,Diesel,Manual,First,1248,88.5,5,24.3,7.5,10,6.009615384615385,5500.0,0,-20.26642945477426,3.190703830297454
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,2005,102000,Petrol,Manual,Second,1086,74.0,5,17.0,0.85,21,0.7826887661141804,4857.142857142857,0,-90.96352867154108,0.14451411139967427
Mercedes-Benz B Class B200 CDI,MercedesBenz,Pune,2014,53753,Diesel,Automatic,Second,2143,107.3,5,15.0,16.75,12,7.816145590293981,4479.416666666667,1,147.70335666967415,6.031366179052409
Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,1582,126.2,5,22.0,10.95,8,6.921618204804044,1281.25,0,93.03690103179196,5.503813317857139
Maruti Wagon R LXI BS IV,Maruti,Pune,2011,43874,Petrol,Manual,First,998,67.1,5,18.9,2.45,15,2.454909819639279,2924.9333333333334,0,-63.76876275577901,0.6869584205804902
Tata Nano XTA,Tata,Coimbatore,2017,32684,Petrol,Automatic,First,624,37.48,4,21.9,3.23,9,5.176282051282051,3631.5555555555557,0,-78.5499856498522,1.4936193292551847
Mahindra Scorpio VLX,Mahindra,Kolkata,2014,42000,Diesel,Manual,First,2179,120.0,8,12.05,7.75,12,3.5566773749426344,3500.0,1,36.624290684601625,2.790632112695891
Mercedes-Benz New C-Class 200 K AT,MercedesBenz,Kolkata,2009,28352,Petrol,Automatic,First,1796,178.0,5,11.7,9.35,17,5.206013363028953,1667.764705882353,1,64.83059585819679,2.218971031480288
Maruti Wagon R LXI CNG,Maruti,Pune,2013,89900,CNG,Manual,First,998,58.16,5,26.6,3.25,13,3.256513026052104,6915.384615384615,0,-51.93815467603338,1.0766438731562211
Honda CR-V 2.4 MT,Honda,Bangalore,2007,47700,Petrol,Manual,Second,2354,152.0,5,10.8,5.25,19,2.230246389124894,2510.5263157894738,1,-61.05103874404968,1.0545689492498191
Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Pune,2015,55000,Diesel,Automatic,First,1498,103.2,5,21.21,7.25,11,4.8397863818424565,5000.0,0,7.214885722694775,2.837599273077869
Maruti Ciaz VXi Plus,Maruti,Kochi,2017,44285,Petrol,Manual,First,1373,91.1,5,20.73,7.47,9,5.440640932265112,4920.555555555556,0,-33.26283542230502,3.4542837119307213
Mahindra XUV500 AT W10 FWD,Mahindra,Jaipur,2016,54000,Diesel,Automatic,First,2179,140.0,7,16.0,13.25,10,6.080770995869665,5400.0,1,126.8778764314292,5.636910100192169
Maruti Ritz VXI ABS,Maruti,Coimbatore,2016,30232,Petrol,Manual,First,1197,85.8,5,21.1,5.81,10,4.853801169590643,3023.2,0,-61.416537654997306,2.471731900537094
Maruti Alto K10 VXI,Maruti,Hyderabad,2014,88500,Petrol,Manual,First,998,67.1,5,24.07,2.6,12,2.6052104208416833,7375.0,0,-73.42034104078141,0.9362120636141052
Mercedes-Benz SLC 43 AMG,MercedesBenz,Kolkata,2017,13372,Petrol,Automatic,First,2996,362.07,2,19.0,54.0,9,18.024032042723633,1485.7777777777778,1,851.962799608837,24.970725628414854
Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,2019,12645,Petrol,Automatic,First,1591,121.3,5,17.0,11.5,7,7.228158390949089,1806.4285714285713,0,2.7412841557553413,6.282891915362031
Maruti Alto LXi BSIII,Maruti,Chennai,2010,94385,Petrol,Manual,Second,796,46.3,5,19.7,1.6,16,2.0100502512562812,5899.0625,0,-79.43493280941377,0.4127358347324414
